,ActivePower,AmbientTemperatue,BearingShaftTemperature,Blade1PitchAngle,Blade2PitchAngle,Blade3PitchAngle,ControlBoxTemperature,GearboxBearingTemperature,GearboxOilTemperature,GeneratorRPM,GeneratorWinding1Temperature,GeneratorWinding2Temperature,HubTemperature,MainBoxTemperature,NacellePosition,ReactivePower,RotorRPM,TurbineStatus,WTG,WindDirection,WindSpeed
2019-01-01 01:40:00+00:00,302.081932,19.3631433,38.3275085,,,,0,63.5441651,55.0833077,1029.86295,54.6616717,53.8846905,28.001907,28.3125,,-0.229778197,9.22659525,2,G01,,5.389364735
2019-01-01 01:50:00+00:00,297.5187035,19.4911394,38.1981922,,,,0,63.3621279,54.9381767,1029.99827,54.1794601,53.4277804,28.001907,28.31875,,0.020683379,9.23477655,2,G01,,5.267324905
2019-01-01 02:00:00+00:00,257.858037,19.5871729,38.0834826,,,,0,63.0542406,54.7734645,1029.92919,53.5465875,52.7915318,28.001907,28.4001698,,0.887097159,9.2346474,2,G01,,5.194474775
2019-01-01 02:10:00+00:00,246.2761225,19.7647723,37.9628117,,,,0,62.7914773,54.5535549,1030.17692,52.8615926,52.1113787,28.0050773,28.47501,209,-0.312789813,9.2296069,2,G01,209,5.123764825
2019-01-01 02:20:00+00:00,199.5011185,19.9724677,37.8746899,,,,0,62.3727639,54.3929733,1030.03743,52.0897659,51.3487371,28.7746729,28.5927681,213.5,0.403835658,9.2364587,2,G01,213.5,4.968929765
2019-01-01 02:30:00+00:00,126.5490808,20.1429615,37.7632839,,,,0,61.3403875,54.0249793,1029.79575,51.120574,50.3803889,28.9766939,28.7394261,,0.440015546,9.2365345,2,G01,,4.255439815
2019-01-01 02:40:00+00:00,62.5225428,20.3095697,37.6329553,,,,0,59.8593151,53.4810414,1030.25603,50.0356849,49.3075677,28.9872378,28.86875,,0.101231956,9.2407064,2,G01,,3.501094875
2019-01-01 02:50:00+00:00,81.96741145,20.5303265,37.5525065,,,,0,59.0247203,52.9815713,1030.21216,49.098701,48.3912753,28.9899916,29.0124998,,-1.031700238,9.2407456,2,G01,,3.609749875
2019-01-01 03:00:00+00:00,145.4032033,20.7503233,37.4895595,,,,0,59.6659767,52.7865361,1030.44849,48.6594194,47.9684681,28.9926637,29.1874086,,-0.684377448,9.23182485,2,G01,,4.23291477
2019-01-01 03:10:00+00:00,141.3973047,20.93420988,29.10525289,,,,0,46.47952911,52.71214988,1030.140638,48.33855675,47.64288813,23.10926178,22.88888533,215,-0.642577235,9.230347313,2,G01,215,4.162276347
2019-01-01 03:20:00+00:00,70.09045113,21.23812933,37.3678475,,,,0,58.54674438,52.36773822,1030.214278,47.87168744,47.179405,29.998093,29.7109375,215,-0.17759748,9.235148667,2,G01,215,3.557126153
2019-01-01 03:30:00+00:00,60.67676687,21.4766656,37.3210813,,,,0,58.0421377,52.0742243,1030.01928,47.507043,46.8035995,29.607334,29.91875,,-0.270388059,9.2319983,2,G01,,3.626729835
2019-01-01 03:40:00+00:00,104.7871346,21.5394666,37.2778022,,,,0,58.0161717,51.8693841,1030.19629,47.3008919,46.5981277,29.0032072,30.115743,,0.166501585,9.2392403,2,G01,,3.868764795
2019-01-01 03:50:00+00:00,88.69978096,21.7947157,37.2520618,,,,0,58.2231098,51.86486,1029.91268,47.2546606,46.5433805,29.0035485,30.3706285,197.75,-0.102574346,9.23945865,2,G01,197.75,3.66483981
2019-01-01 04:00:00+00:00,84.89213962,22.1127349,37.2097387,,,,0,57.6064963,51.5547965,1029.97016,47.0743942,46.365523,29.0055838,30.625257,203,-0.355593629,9.23082785,2,G01,203,3.78213491
2019-01-01 04:10:00+00:00,79.459122,22.2403444,37.2092931,,,,0,57.9225115,51.559821,1030.3563,47.1167137,46.3991313,29.0081861,30.8937443,197,-0.28921348,9.2379052,2,G01,197,3.633394875
2019-01-01 04:20:00+00:00,162.369439,22.3796488,37.1738209,,,,0,58.4741818,51.5813244,1032.34822,47.4230453,46.7193285,29.1885671,31.1125,200,0.01540571,9.2528789,2,G01,200,4.35354474
2019-01-01 04:30:00+00:00,135.6420223,22.60069011,33.05947033,,,,0,51.85309189,51.568656,1028.133833,47.59350789,46.85229344,26.57353833,27.951387,198.2,-0.149293023,9.212993278,2,G01,198.2,4.140549778
2019-01-01 04:40:00+00:00,260.9050123,22.5678817,37.1890394,,,,0,59.9665039,51.9532207,1041.74937,48.5003936,47.7533065,29.9883174,31.725,181.6666667,-0.48159975,9.33216005,2,G01,181.6666667,4.886714825
2019-01-01 04:50:00+00:00,247.4364242,22.767573,37.2006927,,,,0,60.4452627,52.2735265,1035.20021,49.213812,48.4661067,29.9975617,32.0084362,175,-0.401808104,9.28280245,2,G01,175,4.948684825
2019-01-01 05:00:00+00:00,131.3034983,23.119349,37.2342147,,,,0,59.6939146,52.418731,1029.82736,49.4288968,48.684587,30.0118502,32.3197676,186.2857143,-0.337422867,9.2344675,2,G01,186.2857143,4.194729825
2019-01-01 05:10:00+00:00,291.4808118,23.350939,37.2216262,,,,0,60.2582454,52.5225268,1056.62532,49.6736293,48.9295221,30.0319203,32.5994534,178,0.436758313,9.4774174,2,G01,178,4.89601978
2019-01-01 05:20:00+00:00,229.425368,23.4192243,37.2727878,,,,0,61.2411374,52.9173495,1038.33656,50.6333789,49.9155338,30.001907,32.8625,170.5,-0.373561511,9.3088963,2,G01,170.5,4.580909805
2019-01-01 05:30:00+00:00,264.1661079,23.7769371,37.3252752,,,,0,60.8260665,53.0276437,1065.08156,50.7844468,50.0377303,30.001907,33.1532,182,-0.86392002,9.5552502,2,G01,182,4.653934865
2019-01-01 05:40:00+00:00,128.6193479,24.1503012,37.3703444,,,,0,60.6076763,53.2410478,1030.32242,51.1694932,50.413237,30.001907,33.3625,186.5,-0.492873063,9.24018555,2,G01,186.5,4.077434865
2019-01-01 05:50:00+00:00,105.2219794,24.394656,37.3358279,,,,0,60.2054319,53.1996743,842.7804733,51.0822231,50.3198905,30.001907,33.7019596,167.3333333,-2.950352277,6.838601227,2,G01,167.3333333,4.1150798
2019-01-01 06:00:00+00:00,4.637750606,25.23842422,32.74614244,,,,0,50.80512122,51.79271422,226.8799356,50.59424344,49.93220267,26.65600311,30.76388333,166,-5.965538194,2.604111609,2,G01,166,4.10794425
2019-01-01 06:10:00+00:00,155.3178043,25.4638041,37.0088836,,,,0,59.1098713,53.5148399,1033.22112,50.2595719,49.6559683,29.998093,34.9,169,1.240473175,9.26224055,2,G01,169,4.161274885
2019-01-01 06:20:00+00:00,113.6151783,25.1567784,37.168089,,,,0,59.9638622,53.290753,806.0568265,51.1992082,50.5158338,29.998093,34.6826072,160,-6.165089765,7.25353797,2,G01,160,4.14816985
2019-01-01 06:30:00+00:00,183.5457294,25.4689888,37.1568534,,,,0,59.4761609,53.1253825,1037.47669,50.6867529,50.0339155,30.1861265,34.9970379,173,-0.590410587,9.3021396,2,G01,173,4.24240983
2019-01-01 06:40:00+00:00,60.25334141,25.7088232,37.3004084,,,,0,59.1760408,53.1496641,1029.83275,50.9071416,50.1991754,30.998093,34.78125,172,-0.078100456,9.2280621,2,G01,172,3.37288986
2019-01-01 06:50:00+00:00,191.1438984,25.753758,33.301437,,,,0,53.549772,53.34744411,1049.440244,51.63012389,50.896722,27.55386044,31.01581911,178.8333333,0.217327818,9.408819111,2,G01,178.8333333,4.267305724
2019-01-01 07:00:00+00:00,286.292251,25.674765,37.540875,,,,0,61.3692669,53.6874865,1055.29319,52.5297947,51.7957359,30.998093,34.940882,192.5,0.511566888,9.4457251,2,G01,192.5,4.89131981
2019-01-01 07:10:00+00:00,265.1500042,25.9067048,37.6525014,,,,0,61.528604,53.9609117,1094.18444,53.1258924,52.3858247,30.998093,35.0269424,,-0.353620312,9.8250247,2,G01,,4.62726478
2019-01-01 07:20:00+00:00,204.2967071,25.9847717,37.7715654,,,,0,62.1532525,54.4316983,1048.80333,53.9099896,53.1731153,31.0007628,35.1812504,177.3333333,-0.275214613,9.3935538,2,G01,177.3333333,4.2223848
2019-01-01 07:30:00+00:00,102.5676655,26.4500355,37.7847578,,,,0,60.5473034,54.1879818,1027.821075,53.4059678,52.6325302,31.001907,35.4318852,195,-0.648911681,9.2073407,2,G01,195,3.71198988
2019-01-01 07:40:00+00:00,78.85073761,26.354195,37.8345968,,,,0,60.3470929,54.283074,1029.72977,53.3183615,52.5366617,31.0042614,35.5875,170.75,-0.054656973,9.2324254,2,G01,170.75,4.05272483
2019-01-01 07:50:00+00:00,78.13768981,26.8293823,37.7476352,,,,0,59.3403431,53.9576681,768.9953715,52.841639,52.1190754,31.0048613,36.0437534,159.25,-0.272586873,6.87742684,2,G01,159.25,3.909039845
2019-01-01 08:00:00+00:00,51.61435206,26.8142589,34.31358318,,,,0,54.26711364,53.8397557,593.9661853,52.8326778,52.1604499,28.245157,32.86363636,164.75,-8.12732068,5.323608566,2,G01,164.75,3.66112987
2019-01-01 08:10:00+00:00,-8.288890718,27.25134338,37.13762171,,,,0,56.33877686,52.53912363,105.2108373,52.2832555,51.70142675,31.001907,37.22321429,161.8,-14.31033635,0.878405959,2,G01,161.8,3.306358659
2019-01-01 08:20:00+00:00,14.35762912,27.213873,33.2711593,,,,0,50.0884843,52.48021633,607.7751522,51.38267144,50.89894322,27.9075388,33.9937416,177.3333333,-11.30821913,5.444894626,3,G01,177.3333333,3.701288071
2019-01-01 08:30:00+00:00,96.31819644,27.222644,33.19838956,,,,0,51.49850378,52.92061111,1029.585256,50.51600444,49.96015211,28.44063689,32.81250378,170.875,-0.353164714,9.228529167,2,G01,170.875,3.825444283
2019-01-01 08:40:00+00:00,149.1435974,27.60499911,37.536388,,,,0,59.62676638,53.10897233,822.9334871,51.64883378,50.938754,32.00007863,36.64047338,171.7142857,-5.078297341,7.361985496,2,G01,171.7142857,4.207488733
2019-01-01 08:50:00+00:00,154.199434,27.7123378,37.4691382,,,,0,58.9291966,52.7908726,978.558067,51.481328,50.8084758,31.9966336,36.9370346,197,0.055422527,8.76191204,3,G01,197,4.371394815
2019-01-01 09:00:00+00:00,78.00530667,27.6181836,37.681756,,,,0,59.278296,53.2646773,1030.01751,51.9496002,51.2211188,32.2735944,36.60625,184.75,0.058647112,9.232419,2,G01,184.75,3.921579805
2019-01-01 09:10:00+00:00,155.9070724,27.701682,37.7865365,,,,0,60.1117799,53.4577393,1029.67466,52.5393242,51.7586464,32.986123,36.625,182,-0.373056787,9.2289394,2,G01,182,4.40085476
2019-01-01 09:20:00+00:00,101.24136,27.887869,37.9131745,,,,0,59.5303704,53.5036739,1030.01018,52.8479646,52.0477282,32.995918,36.68125,167.5,-0.435577642,9.2292583,2,G01,167.5,3.809374855
2019-01-01 09:30:00+00:00,20.62841321,28.174246,37.7677793,,,,0,58.3430952,53.0462027,468.0177536,52.8748543,52.1332823,32.4058283,37.2945644,177.8,-9.447524044,4.190388876,2,G01,177.8,3.607164875
2019-01-01 09:40:00+00:00,325.166074,27.73635388,33.10432812,,,,0,53.21651475,54.02554525,1049.726375,53.25780025,52.56576813,28.87166188,32.78830963,196.25,-0.338413693,9.4106855,2,G01,196.25,5.063446493
2019-01-01 09:50:00+00:00,111.1081912,27.9574505,31.706857,,,,0,50.33281117,54.15832283,1030.080567,54.06191267,53.29496467,28.28244429,30.94791667,189,-1.307526812,9.24013675,2,G01,189,3.959078429
2019-01-01 10:00:00+00:00,174.4283538,27.9640037,38.1677776,,,,0,61.0158684,54.3067201,1036.56888,54.5867879,53.7639832,32.996185,37.1375,186.5,0.133251518,9.29100255,2,G01,186.5,4.17787479
2019-01-01 10:10:00+00:00,193.433469,27.9652519,38.2723939,,,,0,61.3296502,54.5688192,1030.42202,55.1280616,54.2770345,32.99855,37.1875,183.5,0.165453866,9.2404431,2,G01,183.5,4.443409815
2019-01-01 10:20:00+00:00,154.242574,28.1087722,38.3696097,,,,0,61.5862845,54.7810559,1030.80761,55.5174857,54.666385,33.0055718,37.2312496,188,-0.118381219,9.2404715,2,G01,188,4.17208481
2019-01-01 10:30:00+00:00,140.7171155,28.0642879,38.4387421,,,,0,61.258914,54.7927111,1030.10708,55.6584652,54.7949616,33.0219333,37.3188543,166.75,-0.011428068,9.23464135,2,G01,166.75,4.00922991
2019-01-01 10:40:00+00:00,269.0253255,27.9716952,38.5311158,,,,0,62.1124308,55.0419073,1046.08469,56.2686419,55.4190609,33.8963857,37.5072418,148,-0.591530218,9.3881894,2,G01,148,4.737354845
2019-01-01 10:50:00+00:00,227.4644165,27.9283302,38.6151266,,,,0,62.6597324,55.3337083,1033.30768,56.899652,56.0531047,33.9859148,37.68125,171,1.213535215,9.2573212,2,G01,171,4.50034984
2019-01-01 11:00:00+00:00,11.15374038,28.0129772,38.5080878,,,,0,60.7574431,54.8007931,507.268543,56.6605174,55.8462007,33.4057485,38.0077232,176.5,-8.894532531,4.50457973,2,G01,176.5,3.768979855
2019-01-01 11:10:00+00:00,326.5603152,27.7604551,38.4542007,,,,0,62.2421072,55.597716,1072.92407,56.6570132,55.9247615,33.7981761,38.3186152,178,-0.193367669,9.6133496,2,G01,178,5.463729785
2019-01-01 11:20:00+00:00,169.0284543,27.7722401,38.6545239,,,,0,62.4289756,55.7795397,1030.0244,57.0165715,56.2187543,33.996185,37.8499996,,-0.422514987,9.2332027,2,G01,,4.036119865
2019-01-01 11:30:00+00:00,150.9376435,27.5029448,38.7527196,,,,0,62.6615661,55.8361488,1029.469424,57.2485903,56.397688,33.996185,37.70442091,185,-0.993268827,9.2258196,2,G01,185,4.1159198
2019-01-01 11:40:00+00:00,81.10666275,27.4366887,38.5888508,,,,0,60.7562187,55.1681652,695.9425176,56.6040009,55.8214787,33.71786167,38.08350744,176,-6.756667583,6.236385817,2,G01,176,4.24654486
2019-01-01 11:50:00+00:00,196.8928485,27.4060355,38.6971568,,,,0,61.9072075,55.4647501,1030.19156,56.2457375,55.4813015,34.0003717,37.637505,181.5,-0.516382254,9.2442791,2,G01,181.5,4.5052798
2019-01-01 12:00:00+00:00,210.6258715,27.1184057,38.7914787,,,,0,62.5040144,55.5699519,1030.25958,56.5597733,55.7489954,34.0064239,37.343756,182,-0.157356972,9.2331444,2,G01,182,4.57097479
2019-01-01 12:10:00+00:00,287.7381195,27.042052,38.8927784,,,,0,63.1811477,55.7450318,1031.57147,57.1391497,56.3047791,34.0195126,37.1949265,175,-0.330807181,9.2512144,2,G01,175,5.277204775
2019-01-01 12:20:00+00:00,246.8914195,26.7923884,38.9450414,,,,0,63.2629272,55.8747102,1036.85113,57.4884963,56.6403193,34.1063261,37.125,,-0.699260162,9.2955273,2,G01,,4.7774098
2019-01-01 12:30:00+00:00,269.025347,26.6220998,39.0033485,,,,0,63.7045383,56.0674144,1034.93726,57.9908277,57.1304583,34.3858269,37.01875,,-0.813803348,9.2807045,2,G01,,4.928079785
2019-01-01 12:40:00+00:00,275.4101145,26.5346979,39.0431663,,,,0,63.7346027,56.0935455,1030.28674,58.3160662,57.4249247,34.0465097,36.924796,,0.249667894,9.23643875,2,G01,,5.083249825
2019-01-01 12:50:00+00:00,271.808642,26.3854572,39.0760158,,,,0,63.6238344,56.1626638,1048.24158,58.4548171,57.5543564,34.6349555,36.806245,,-0.613231,9.4012963,2,G01,,5.061509715
2019-01-01 13:00:00+00:00,390.4163065,26.1493086,39.1410553,,,,0,64.6587251,56.3641423,1093.88655,59.3182977,58.4306098,34.6266371,36.64375,,0.406456041,9.8184187,2,G01,,5.561384815
2019-01-01 13:10:00+00:00,449.9840895,25.9932417,39.2383989,,,,0,65.3691691,56.6465871,1125.05634,60.1543233,59.2834448,34.8715631,36.5437504,,-0.251977322,10.07696965,2,G01,,5.646609745
2019-01-01 13:20:00+00:00,644.9640505,25.8319928,39.4301154,,,,0,67.1024133,57.2885043,1271.48032,61.5470748,60.7358482,34.9845386,36.3120929,180.6666667,-0.901275219,11.3940454,2,G01,180.6666667,6.66205992
2019-01-01 13:30:00+00:00,842.9507045,25.6847747,39.9087842,,,,0,69.4596366,58.381734,1387.12425,63.6651576,62.9599939,34.9785346,36.175,197,0.295546272,12.4365,2,G01,197,7.13833983
2019-01-01 13:40:00+00:00,809.9005205,25.578483,40.3539493,,,,0,69.9495684,58.6246756,1379.81107,65.1163615,64.451562,34.2334408,35.8397577,,-0.109813861,12.36919035,2,G01,,7.27644485
2019-01-01 13:50:00+00:00,761.8490955,25.4985595,40.6763824,,,,0,69.3530202,58.1657458,1340.06388,65.6701154,64.9862535,33.5085275,35.3959606,194,0.214089297,12.026901,2,G01,194,6.85988981
2019-01-01 14:00:00+00:00,781.4495857,25.33637843,35.5926175,,,,0,60.5723495,57.96156314,1376.549643,65.986115,65.31021786,29.746045,30.7425065,194,-0.390254905,12.34623257,2,G01,194,7.098585443
2019-01-01 14:10:00+00:00,669.1109489,24.9771514,30.5668515,,,,0,51.131506,57.4611666,1302.34372,65.787036,65.0521,25.496875,26.09377675,194,-0.155723389,11.6743186,2,G01,194,6.525022056
2019-01-01 14:20:00+00:00,710.0663776,24.81748138,36.17261922,,,,0,60.47858544,57.24266325,1316.0513,65.65896737,64.90751325,30.21746144,30.77777733,,-0.216573283,11.79869325,2,G01,,6.758417482
2019-01-01 14:30:00+00:00,708.13126,24.70586783,40.773591,,,,0,68.0391292,57.08633317,1315.5135,65.90693333,65.15693317,33.9958296,34.3375,194,-0.895940172,11.808155,2,G01,194,6.915007515
2019-01-01 14:40:00+00:00,715.7619605,24.6025901,40.8479005,,,,0,67.8495916,56.992829,1322.92962,65.9542224,65.2112586,33.9947107,34.19375,,-0.643418784,11.86013265,2,G01,,6.65708474
2019-01-01 14:50:00+00:00,570.3656285,24.4319222,40.7039622,,,,0,66.6455485,56.6322509,1232.38098,65.5136885,64.733957,33.9904249,34.0226009,,-0.25305822,11.0555658,2,G01,,6.456254865
2019-01-01 15:00:00+00:00,440.6197125,24.2632724,40.3830944,,,,0,64.6526499,56.0096588,1138.39581,64.5745828,63.7373547,33.9832504,33.9002213,,-0.856378888,10.22606045,2,G01,,5.95416483
2019-01-01 15:10:00+00:00,442.4411985,24.0880531,40.1386102,,,,0,63.3080943,55.3364233,1121.54312,63.7474028,62.874058,33.4368941,33.73299773,,-0.228496468,10.06014825,2,G01,,6.2069998
2019-01-01 15:20:00+00:00,487.109915,24.0155102,40.0334023,,,,0,63.9705335,55.2985238,1158.35383,63.4185254,62.5423199,33.7334553,33.64582222,,-0.689785534,10.3812705,2,G01,,5.98068988
2019-01-01 15:30:00+00:00,352.8369655,23.8950293,39.9092078,,,,0,64.4051331,55.8233676,1058.31551,62.9373835,62.0459322,33.1600476,33.7312477,197,-0.100894529,9.4863892,2,G01,197,5.460509875
2019-01-01 15:40:00+00:00,430.0392755,23.7617879,39.8111874,,,,0,64.8921596,56.0411114,1115.34697,62.6996555,61.7918435,33.012847,33.70625,204.5,-0.690248732,10.0048748,2,G01,204.5,5.85265485
2019-01-01 15:50:00+00:00,531.4535525,23.5792556,39.8564983,,,,0,66.0464889,56.389668,1197.2738,63.0205802,62.1461329,33.0079414,33.6124386,,-0.780820111,10.7403519,2,G01,,6.093154855
2019-01-01 16:00:00+00:00,497.3394295,23.4341652,39.8827213,,,,0,66.4300426,56.7993777,1165.58508,63.1088888,62.2630251,33.0114721,33.53775,,-0.504334853,10.44196005,2,G01,,6.31346486
2019-01-01 16:10:00+00:00,531.645635,23.3586376,39.9155786,,,,0,66.9707225,57.1707727,1191.00102,63.1978597,62.3585441,33.0053559,33.4400067,203,-0.177299368,10.67491205,2,G01,203,6.25769486
2019-01-01 16:20:00+00:00,604.78916,23.257006,40.0064412,,,,0,67.7011676,57.5952182,1242.79697,63.5090213,62.6820991,33.0044542,33.3306858,,-0.409037449,11.1389577,2,G01,,6.32355487
2019-01-01 16:30:00+00:00,649.9377995,23.1103822,40.1563575,,,,0,68.4789387,58.1080726,1275.40069,64.0635441,63.2629808,33.0038802,33.2062412,,-0.319546111,11.4310581,2,G01,,6.427839875
2019-01-01 16:40:00+00:00,801.319627,23.0147076,40.4044374,,,,0,69.7297615,58.611816,1352.8945,64.9432909,64.1888722,33.003815,33.0588836,,-1.212299331,12.1207572,2,G01,,7.111549775
2019-01-01 16:50:00+00:00,718.4658925,22.8108583,40.7520326,,,,0,68.5427375,58.08661,1321.19201,65.395273,64.6808206,33.003815,32.7,,-0.109210998,11.8527157,2,G01,,6.629954905
2019-01-01 17:00:00+00:00,648.62042,22.5788886,33.95890467,,,,0,56.02413083,57.6059218,1272.68322,65.0122032,64.2681312,27.50317917,27.0625,200,-0.051800555,11.4138922,2,G01,200,6.2826624
2019-01-01 17:10:00+00:00,688.3045675,22.077438,40.6735886,,,,0,66.784472,57.07386217,1289.465883,64.71957583,63.97583383,33.003815,32.0374992,194,-0.165187129,11.57030667,2,G01,194,6.89359135
2019-01-01 17:20:00+00:00,795.962393,21.9592946,40.6818293,,,,0,67.0790041,56.9808722,1360.7787,64.7636181,64.0366739,33.003815,31.858289,,-0.577668573,12.1942071,2,G01,,6.83140978
2019-01-01 17:30:00+00:00,971.3114895,21.9389095,40.7765011,,,,0,68.223658,57.1946101,1455.68623,65.5746625,64.9246491,33.003815,31.5687387,,0.1706916,13.0531016,2,G01,,7.584614695
2019-01-01 17:40:00+00:00,1145.519455,21.735105,41.243515,,,,0,69.524917,57.8047195,1527.66634,67.37442,66.7886595,33.003815,31.2502312,197,-1.401065757,13.6967803,2,G01,197,7.86371971
2019-01-01 17:50:00+00:00,1262.581755,21.5384968,41.7409874,,,,0,70.529196,58.5495898,1565.86037,69.6810709,69.1355574,33.0003015,31.01875,,-0.62134448,14.0551318,2,G01,,8.276574495
2019-01-01 18:00:00+00:00,1159.208285,21.3690243,42.133759,,,,0,70.7277234,58.8836422,1536.50909,71.2740212,70.754078,32.996185,30.8804705,,-1.834585095,13.7714338,2,G01,,7.812079745
2019-01-01 18:10:00+00:00,1074.670753,21.1200662,42.2599144,,,,0,70.3853469,58.7885143,1485.83244,71.3708387,70.8161269,32.996185,30.737397,,-1.307161332,13.3083865,2,G01,,7.711654545
2019-01-01 18:20:00+00:00,974.9341205,18.71038822,37.56346544,,,,0,62.33498722,52.217424,1316.060189,63.12800167,62.61353111,29.32994222,27.17340411,100,-1.111064414,11.81100317,2,G01,100,7.490615389
2019-01-01 18:30:00+00:00,889.7717568,20.93682511,42.271071,,,,0,69.36532433,58.478132,1403.022633,70.23284056,69.59457622,32.996185,30.3785174,200,-0.853205456,12.58498983,2,G01,200,7.476957605
2019-01-01 18:40:00+00:00,923.656196,20.8029122,42.1551596,,,,,69.0030763,58.1897791,1415.4832,69.4329259,68.7690906,32.75069,30.2127825,,1.339557363,12.7013527,,G01,,7.214544685
2019-01-01 18:50:00+00:00,1046.536852,20.60723938,37.48330467,,,,0,61.78667444,58.27247688,1474.76755,69.48524638,68.87734513,28.44154511,26.25,200,0.240630944,13.22295213,2,G01,200,7.419456025
2019-01-01 19:00:00+00:00,965.6183345,20.4602181,42.25694689,,,,0,69.47969089,58.2582691,1439.54258,69.600839,69.0404458,31.998093,29.81277211,200,0.15689512,12.9191853,2,G01,200,7.57191478
2019-01-01 19:10:00+00:00,1056.25641,20.30257289,37.58371356,,,,0,61.804346,58.33650133,1485.397678,69.40807433,68.85527711,28.44274933,26.35415144,199.4,0.697854646,13.32795717,2,G01,199.4,7.471938589
2019-01-01 19:20:00+00:00,1048.604476,20.0894314,38.54758855,,,,0,63.39786227,58.4495734,1483.44766,69.6155155,69.078967,29.08915527,26.79685209,,-0.353564074,13.30227655,2,G01,,7.866904868
2019-01-01 19:30:00+00:00,894.1995542,19.92765544,42.42791,,,,0,69.05616137,58.27869667,1402.488156,69.06726778,68.49559444,31.99473275,29.328125,197,-0.384188836,12.56912322,2,G01,197,7.217541905
2019-01-01 19:40:00+00:00,890.516069,19.8700764,42.272517,,,,0,68.4403034,58.0631814,1403.53644,68.0424761,67.4221611,31.9908561,29.2376478,,-0.945347491,12.5812922,2,G01,,7.51629958
2019-01-01 19:50:00+00:00,884.6216155,19.8226481,42.1754633,,,,0,68.2675629,57.8276214,1406.80843,67.4993151,66.881788,31.9605715,29.1428188,,1.083006845,12.6085159,2,G01,,7.126699615
2019-01-01 20:00:00+00:00,801.766597,19.7965615,42.0891837,,,,0,67.6481871,57.5051054,1367.58494,66.6991154,66.0720425,31.2003613,29.0488468,,-0.527398234,12.25742245,2,G01,,6.899634855
2019-01-01 20:10:00+00:00,729.3854735,19.8280633,41.9151919,,,,0,66.8509811,57.0870723,1321.92621,65.715759,65.0401224,31.0091831,28.9816637,,-0.607917073,11.85869945,2,G01,,6.7339249
2019-01-01 20:20:00+00:00,712.052362,19.8870821,41.5828498,,,,0,66.2044215,56.7399743,1308.09921,64.74994,64.0496207,31.00353,28.9,,0.344585649,11.7309624,2,G01,,6.765074795
2019-01-01 20:30:00+00:00,642.5265265,19.9258296,41.135093,,,,0,65.2739997,56.1216777,1263.76432,63.6448821,62.9060892,31.001907,28.8456924,,0.013630809,11.3450406,2,G01,,6.51415966
2019-01-01 20:40:00+00:00,659.7939275,19.9593019,40.8353048,,,,0,64.9100401,55.6744604,1275.89527,62.8740201,62.1252042,31.0015256,28.8,194,-0.267477728,11.44257865,2,G01,194,6.81792987
